CD_GEOCODI	geosample
355030875000004	SÃO RAFAEL
355030875000005	SÃO RAFAEL
355030875000006	SÃO RAFAEL
355030875000007	SÃO RAFAEL
355030875000008	SÃO RAFAEL
355030875000009	SÃO RAFAEL
355030875000010	SÃO RAFAEL
355030875000011	SÃO RAFAEL
355030875000012	SÃO RAFAEL
355030875000013	SÃO RAFAEL
355030875000014	SÃO RAFAEL
355030875000015	SÃO RAFAEL
355030875000016	SÃO RAFAEL
355030875000017	SÃO RAFAEL
355030875000018	SÃO RAFAEL
355030875000019	SÃO RAFAEL
355030875000020	SÃO RAFAEL
355030875000021	SÃO RAFAEL
355030875000022	SÃO RAFAEL
355030875000023	SÃO RAFAEL
355030875000024	SÃO RAFAEL
355030875000025	SÃO RAFAEL
355030875000026	SÃO RAFAEL
355030875000027	SÃO RAFAEL
355030875000028	SÃO RAFAEL
355030875000029	SÃO RAFAEL
355030875000030	SÃO RAFAEL
355030875000031	SÃO RAFAEL
355030875000032	SÃO RAFAEL
355030875000033	SÃO RAFAEL
355030875000034	SÃO RAFAEL
355030875000035	SÃO RAFAEL
355030875000036	SÃO RAFAEL
355030875000037	SÃO RAFAEL
355030875000038	SÃO RAFAEL
355030875000039	SÃO RAFAEL
355030875000040	SÃO RAFAEL
355030875000041	SÃO RAFAEL
355030875000042	SÃO RAFAEL
355030875000043	SÃO RAFAEL
355030875000044	SÃO RAFAEL
355030875000045	SÃO RAFAEL
355030875000046	SÃO RAFAEL
355030875000047	SÃO RAFAEL
355030875000048	SÃO RAFAEL
355030875000049	SÃO RAFAEL
355030875000050	SÃO RAFAEL
355030875000051	SÃO RAFAEL
355030875000052	SÃO RAFAEL
355030875000053	SÃO RAFAEL
355030875000054	SÃO RAFAEL
355030875000055	SÃO RAFAEL
355030875000056	SÃO RAFAEL
355030875000057	SÃO RAFAEL
355030875000058	SÃO RAFAEL
355030875000059	SÃO RAFAEL
355030875000060	SÃO RAFAEL
355030875000061	SÃO RAFAEL
355030875000062	SÃO RAFAEL
355030875000063	SÃO RAFAEL
355030875000064	SÃO RAFAEL
355030875000065	SÃO RAFAEL
355030875000066	SÃO RAFAEL
355030875000067	SÃO RAFAEL
355030875000068	SÃO RAFAEL
355030875000069	SÃO RAFAEL
355030875000070	SÃO RAFAEL
355030875000071	SÃO RAFAEL
355030875000072	SÃO RAFAEL
355030875000073	SÃO RAFAEL
355030875000074	SÃO RAFAEL
355030875000075	SÃO RAFAEL
355030875000076	SÃO RAFAEL
355030875000077	SÃO RAFAEL
355030875000078	SÃO RAFAEL
355030875000079	SÃO RAFAEL
355030875000080	SÃO RAFAEL
355030875000081	SÃO RAFAEL
355030875000082	SÃO RAFAEL
355030875000083	SÃO RAFAEL
355030875000084	SÃO RAFAEL
355030875000085	SÃO RAFAEL
355030875000086	SÃO RAFAEL
355030875000087	SÃO RAFAEL
355030875000088	SÃO RAFAEL
355030875000089	SÃO RAFAEL
355030875000090	SÃO RAFAEL
355030875000091	SÃO RAFAEL
